bootstrap_iteration,statistic,p_value,significant,comparison
0,4.879261312559492,0.02884285339231982,True,Pre vs Post Inauguration
1,0.0019624352467400475,0.9647302675711164,False,Pre vs Post Inauguration
2,0.0407107091663202,0.8403966464332439,False,Pre vs Post Inauguration
3,1.4586588713880622,0.22922445854183063,False,Pre vs Post Inauguration
4,0.8233572095452903,0.3657937147729172,False,Pre vs Post Inauguration
5,2.035632536246023,0.1559252916414213,False,Pre vs Post Inauguration
6,0.1467754687531179,0.7022298835706897,False,Pre vs Post Inauguration
7,0.00036617157320453585,0.9847607646526461,False,Pre vs Post Inauguration
8,5.74980244601649,0.017838201556321962,True,Pre vs Post Inauguration
9,0.0027725889634474176,0.9580831930242183,False,Pre vs Post Inauguration
10,0.04054100018841543,0.840725147287302,False,Pre vs Post Inauguration
11,0.0009819867206055913,0.9750466547614738,False,Pre vs Post Inauguration
12,0.4627768786791343,0.49747704608755006,False,Pre vs Post Inauguration
13,0.08593251385031667,0.76985680950626,False,Pre vs Post Inauguration
14,7.863551360230944,0.005777476592676837,True,Pre vs Post Inauguration
15,0.1565216801616751,0.6929947249311865,False,Pre vs Post Inauguration
16,1.6798456873443304,0.19712414191159044,False,Pre vs Post Inauguration
17,1.612356063104534,0.2063135039247939,False,Pre vs Post Inauguration
18,1.1921883880197839,0.2768050148135788,False,Pre vs Post Inauguration
19,0.3485210146025188,0.5559240964719034,False,Pre vs Post Inauguration
20,0.7140703768021868,0.39956918102238104,False,Pre vs Post Inauguration
21,0.015574692899890035,0.9008659225232722,False,Pre vs Post Inauguration
22,0.1720000527866079,0.678989077628652,False,Pre vs Post Inauguration
23,0.571350184716957,0.451020594419259,False,Pre vs Post Inauguration
24,2.983341478261702,0.08637915777872308,False,Pre vs Post Inauguration
25,8.688843184366856,0.0037648214817084416,True,Pre vs Post Inauguration
26,1.132605373025973e-06,0.999152408119226,False,Pre vs Post Inauguration
27,0.07271107815637032,0.7878353180719855,False,Pre vs Post Inauguration
28,1.945926653085146,0.1652839361185899,False,Pre vs Post Inauguration
29,0.569224275120217,0.45186225019984083,False,Pre vs Post Inauguration
30,1.7024397090295333,0.1941566779669315,False,Pre vs Post Inauguration
31,0.3344551308877052,0.5639969024080695,False,Pre vs Post Inauguration
32,0.003220788137017763,0.9548254472360237,False,Pre vs Post Inauguration
33,0.12377385971566247,0.7255174875591139,False,Pre vs Post Inauguration
34,0.27551421016359273,0.6005049189883493,False,Pre vs Post Inauguration
35,0.7249903721836848,0.395997702997243,False,Pre vs Post Inauguration
36,5.0446745313932295,0.026302504232579262,True,Pre vs Post Inauguration
37,0.09250119122314014,0.761482634959471,False,Pre vs Post Inauguration
38,0.2731103810280799,0.6020969767646132,False,Pre vs Post Inauguration
39,0.60207800150698,0.4391237185538419,False,Pre vs Post Inauguration
40,0.1718004587321381,0.6791648903769287,False,Pre vs Post Inauguration
41,2.5231841463776328,0.11448906272533212,False,Pre vs Post Inauguration
42,0.39123308202310164,0.5326925049675302,False,Pre vs Post Inauguration
43,2.6127221474010804,0.108310079665989,False,Pre vs Post Inauguration
44,1.4717364046476407,0.22715948792583845,False,Pre vs Post Inauguration
45,0.12614491481996326,0.7230093006344237,False,Pre vs Post Inauguration
46,1.8259233879378267,0.17883702139106422,False,Pre vs Post Inauguration
47,0.034255923740953584,0.8534372173073032,False,Pre vs Post Inauguration
48,0.001086177667485415,0.973756678139579,False,Pre vs Post Inauguration
49,0.9369941503513459,0.33475781436108576,False,Pre vs Post Inauguration
50,3.5633319770777305,0.061184145051175254,False,Pre vs Post Inauguration
51,0.8725201593223539,0.35190199788615406,False,Pre vs Post Inauguration
52,0.08986931603258144,0.7647977153092695,False,Pre vs Post Inauguration
53,0.029350057465081607,0.8642260496481365,False,Pre vs Post Inauguration
54,1.0715125450020018,0.3024277672105902,False,Pre vs Post Inauguration
55,0.006870958685889158,0.9340590042763031,False,Pre vs Post Inauguration
56,0.018318058571183907,0.8925383773825205,False,Pre vs Post Inauguration
57,0.019742996709195465,0.8884636085972238,False,Pre vs Post Inauguration
58,0.8835585521213846,0.34888324419784833,False,Pre vs Post Inauguration
59,0.012023872421002875,0.912844700197838,False,Pre vs Post Inauguration
60,0.07399717505438626,0.7860129221054907,False,Pre vs Post Inauguration
61,0.03750751030818882,0.8467222626181213,False,Pre vs Post Inauguration
62,0.259666403092663,0.6111692920576524,False,Pre vs Post Inauguration
63,0.12559080014196955,0.723593070085849,False,Pre vs Post Inauguration
64,1.6970546182479098,0.19485913020105705,False,Pre vs Post Inauguration
65,0.001657623698512251,0.967583233767668,False,Pre vs Post Inauguration
66,0.10548934084210339,0.745834509894417,False,Pre vs Post Inauguration
67,0.3140939335442625,0.5760941353710933,False,Pre vs Post Inauguration
68,2.957137977772801,0.08775745441901757,False,Pre vs Post Inauguration
69,0.7410620946667835,0.3908249459905735,False,Pre vs Post Inauguration
70,1.0271456758546313,0.3126165699659193,False,Pre vs Post Inauguration
71,0.0899439475577468,0.7647029858633584,False,Pre vs Post Inauguration
72,0.18162672975552485,0.6706478115729213,False,Pre vs Post Inauguration
73,3.3435457015061876,0.06964415226925694,False,Pre vs Post Inauguration
74,0.7454505282389771,0.38942946517970245,False,Pre vs Post Inauguration
75,0.37875521492476905,0.5392911835300851,False,Pre vs Post Inauguration
76,1.6550223061914877,0.20044647663260926,False,Pre vs Post Inauguration
77,0.1683207699578981,0.6822494119184401,False,Pre vs Post Inauguration
78,1.0139634935317108,0.3157303683922991,False,Pre vs Post Inauguration
79,0.05456632318686212,0.815648592685423,False,Pre vs Post Inauguration
80,0.25197031753357635,0.6164969055741469,False,Pre vs Post Inauguration
81,0.0020112449840188375,0.9642946391623145,False,Pre vs Post Inauguration
82,0.14123615558131938,0.7076364739431529,False,Pre vs Post Inauguration
83,0.0007374890067413483,0.9783742306004712,False,Pre vs Post Inauguration
84,0.005169208070245385,0.9427885689053752,False,Pre vs Post Inauguration
85,0.11479749776542025,0.7352657433280272,False,Pre vs Post Inauguration
86,0.4849733521592375,0.4873580325818627,False,Pre vs Post Inauguration
87,0.007364990399809446,0.9317351814709623,False,Pre vs Post Inauguration
88,0.02159506277584868,0.8833854772138431,False,Pre vs Post Inauguration
89,0.5478568735094304,0.46046126772658447,False,Pre vs Post Inauguration
90,0.6498933870293706,0.42154794082573477,False,Pre vs Post Inauguration
91,0.02580752470686391,0.8726079124700816,False,Pre vs Post Inauguration
92,0.1479688482530873,0.7010804822795971,False,Pre vs Post Inauguration
93,0.3512216796816579,0.5543993257637785,False,Pre vs Post Inauguration
94,2.680007665161974,0.10391027935321905,False,Pre vs Post Inauguration
95,0.4988339001567727,0.4812123422156035,False,Pre vs Post Inauguration
96,1.2036285704236303,0.2745222603728933,False,Pre vs Post Inauguration
97,2.1208393287974743,0.1475948598915147,False,Pre vs Post Inauguration
98,0.3277567446216823,0.5679213188844418,False,Pre vs Post Inauguration
99,0.3825060542486287,0.537291988702809,False,Pre vs Post Inauguration
100,0.032506019441905676,0.8571879829259093,False,Pre vs Post Inauguration
101,0.06561929130015746,0.7982095108625322,False,Pre vs Post Inauguration
102,0.0001274251562362279,0.9910098723744863,False,Pre vs Post Inauguration
103,5.903838814476853,0.016402656470286575,True,Pre vs Post Inauguration
104,1.7726100913458454,0.1852705409955255,False,Pre vs Post Inauguration
105,0.07316741712283757,0.7871867208011304,False,Pre vs Post Inauguration
106,0.09837473391207384,0.7542658478108402,False,Pre vs Post Inauguration
107,0.7677104371822665,0.3824599900797524,False,Pre vs Post Inauguration
108,1.562516023604118,0.21342824979312539,False,Pre vs Post Inauguration
109,2.7428784995926954,0.09997734059145859,False,Pre vs Post Inauguration
110,0.32544119954314416,0.5692903443932147,False,Pre vs Post Inauguration
