bootstrap_iteration,delta,interpretation,comparison
0,0.4050359712230216,Medium,Post-Inauguration vs Entire Period
1,0.40575539568345326,Medium,Post-Inauguration vs Entire Period
2,0.3829393627954779,Medium,Post-Inauguration vs Entire Period
3,0.4461459403905447,Medium,Post-Inauguration vs Entire Period
4,0.42404933196300104,Medium,Post-Inauguration vs Entire Period
5,0.5066803699897225,Large,Post-Inauguration vs Entire Period
6,0.5202466598150052,Large,Post-Inauguration vs Entire Period
7,0.3772867420349435,Medium,Post-Inauguration vs Entire Period
8,0.49229188078108943,Large,Post-Inauguration vs Entire Period
9,0.41356628982528265,Medium,Post-Inauguration vs Entire Period
10,0.5669064748201439,Large,Post-Inauguration vs Entire Period
11,0.4698869475847893,Medium,Post-Inauguration vs Entire Period
12,0.46372045220966085,Medium,Post-Inauguration vs Entire Period
13,0.46474820143884893,Medium,Post-Inauguration vs Entire Period
14,0.5234326824254881,Large,Post-Inauguration vs Entire Period
15,0.33042137718396714,Medium,Post-Inauguration vs Entire Period
16,0.42271325796505654,Medium,Post-Inauguration vs Entire Period
17,0.46885919835560125,Medium,Post-Inauguration vs Entire Period
18,0.5070914696813977,Large,Post-Inauguration vs Entire Period
19,0.44100719424460433,Medium,Post-Inauguration vs Entire Period
20,0.4998972250770812,Large,Post-Inauguration vs Entire Period
21,0.5071942446043165,Large,Post-Inauguration vs Entire Period
22,0.476464542651593,Large,Post-Inauguration vs Entire Period
23,0.4355601233299075,Medium,Post-Inauguration vs Entire Period
24,0.4695786228160329,Medium,Post-Inauguration vs Entire Period
25,0.5415210688591984,Large,Post-Inauguration vs Entire Period
26,0.5217882836587873,Large,Post-Inauguration vs Entire Period
27,0.3984583761562179,Medium,Post-Inauguration vs Entire Period
28,0.4379239465570401,Medium,Post-Inauguration vs Entire Period
29,0.5139773895169578,Large,Post-Inauguration vs Entire Period
30,0.3796505652620761,Medium,Post-Inauguration vs Entire Period
31,0.4813977389516958,Large,Post-Inauguration vs Entire Period
32,0.5091469681397739,Large,Post-Inauguration vs Entire Period
33,0.3899280575539568,Medium,Post-Inauguration vs Entire Period
34,0.2536485097636177,Small,Post-Inauguration vs Entire Period
35,0.4339157245632066,Medium,Post-Inauguration vs Entire Period
36,0.44809866392600206,Medium,Post-Inauguration vs Entire Period
37,0.40298047276464544,Medium,Post-Inauguration vs Entire Period
38,0.4433710174717369,Medium,Post-Inauguration vs Entire Period
39,0.48150051387461457,Large,Post-Inauguration vs Entire Period
40,0.4873586844809866,Large,Post-Inauguration vs Entire Period
41,0.5915724563206578,Large,Post-Inauguration vs Entire Period
42,0.5018499486125385,Large,Post-Inauguration vs Entire Period
43,0.4611510791366906,Medium,Post-Inauguration vs Entire Period
44,0.4508735868448099,Medium,Post-Inauguration vs Entire Period
45,0.5319630010277492,Large,Post-Inauguration vs Entire Period
46,0.6025693730729702,Large,Post-Inauguration vs Entire Period
47,0.39290853031860223,Medium,Post-Inauguration vs Entire Period
48,0.4581706063720452,Medium,Post-Inauguration vs Entire Period
49,0.45292908530318604,Medium,Post-Inauguration vs Entire Period
50,0.4843782117163412,Large,Post-Inauguration vs Entire Period
