bootstrap_iteration,delta,interpretation,comparison
0,-0.4411427379835262,Medium,Pre-Inauguration vs Entire Period
1,-0.46428943801480554,Medium,Pre-Inauguration vs Entire Period
2,-0.40725680325304975,Medium,Pre-Inauguration vs Entire Period
3,-0.4453133145657387,Medium,Pre-Inauguration vs Entire Period
4,-0.6118235846105724,Large,Pre-Inauguration vs Entire Period
5,-0.5076634344698154,Large,Pre-Inauguration vs Entire Period
6,-0.47607131685955584,Large,Pre-Inauguration vs Entire Period
7,-0.4927536231884058,Large,Pre-Inauguration vs Entire Period
8,-0.5225732457512251,Large,Pre-Inauguration vs Entire Period
9,-0.5325826295485351,Large,Pre-Inauguration vs Entire Period
10,-0.5652173913043478,Large,Pre-Inauguration vs Entire Period
11,-0.3744135126681264,Medium,Pre-Inauguration vs Entire Period
12,-0.4324887915754353,Medium,Pre-Inauguration vs Entire Period
13,-0.35439474507350643,Medium,Pre-Inauguration vs Entire Period
14,-0.4421853821290793,Medium,Pre-Inauguration vs Entire Period
15,-0.3792096757376707,Medium,Pre-Inauguration vs Entire Period
16,-0.5244500052132207,Large,Pre-Inauguration vs Entire Period
17,-0.34615785632363677,Medium,Pre-Inauguration vs Entire Period
18,-0.3882806798039829,Medium,Pre-Inauguration vs Entire Period
19,-0.3552288603899489,Medium,Pre-Inauguration vs Entire Period
20,-0.5636534250860181,Large,Pre-Inauguration vs Entire Period
21,-0.5139192993431342,Large,Pre-Inauguration vs Entire Period
22,-0.4493796267333959,Medium,Pre-Inauguration vs Entire Period
23,-0.4646022312584715,Medium,Pre-Inauguration vs Entire Period
24,-0.3900531748514232,Medium,Pre-Inauguration vs Entire Period
25,-0.3745177770826817,Medium,Pre-Inauguration vs Entire Period
26,-0.4567824001668231,Medium,Pre-Inauguration vs Entire Period
27,-0.5370659993744135,Large,Pre-Inauguration vs Entire Period
28,-0.48983421958085704,Large,Pre-Inauguration vs Entire Period
29,-0.5056824105932645,Large,Pre-Inauguration vs Entire Period
30,-0.4011052027942863,Medium,Pre-Inauguration vs Entire Period
31,-0.5006777186946095,Large,Pre-Inauguration vs Entire Period
32,-0.5269523511625482,Large,Pre-Inauguration vs Entire Period
33,-0.6017099363987071,Large,Pre-Inauguration vs Entire Period
34,-0.5003649254509436,Large,Pre-Inauguration vs Entire Period
35,-0.4723177979355646,Medium,Pre-Inauguration vs Entire Period
36,-0.40652695235116254,Medium,Pre-Inauguration vs Entire Period
37,-0.544885830466062,Large,Pre-Inauguration vs Entire Period
38,-0.44760713168595556,Medium,Pre-Inauguration vs Entire Period
39,-0.605671984151809,Large,Pre-Inauguration vs Entire Period
40,-0.3774371806902304,Medium,Pre-Inauguration vs Entire Period
41,-0.4029819622562819,Medium,Pre-Inauguration vs Entire Period
42,-0.3559587112918361,Medium,Pre-Inauguration vs Entire Period
43,-0.4502137420498384,Medium,Pre-Inauguration vs Entire Period
44,-0.5287248462099885,Large,Pre-Inauguration vs Entire Period
45,-0.5075591700552602,Large,Pre-Inauguration vs Entire Period
46,-0.46908560108434993,Medium,Pre-Inauguration vs Entire Period
47,-0.4108017933479304,Medium,Pre-Inauguration vs Entire Period
48,-0.4599103326034824,Medium,Pre-Inauguration vs Entire Period
49,-0.3950578667500782,Medium,Pre-Inauguration vs Entire Period
