bootstrap_iteration,delta,interpretation,comparison
0,-0.9556935817805383,Large,Pre vs Post Inauguration
1,-0.9072463768115943,Large,Pre vs Post Inauguration
2,-0.9503105590062112,Large,Pre vs Post Inauguration
3,-0.9428571428571428,Large,Pre vs Post Inauguration
4,-0.9060041407867495,Large,Pre vs Post Inauguration
5,-0.9341614906832298,Large,Pre vs Post Inauguration
6,-0.9180124223602485,Large,Pre vs Post Inauguration
7,-0.917184265010352,Large,Pre vs Post Inauguration
8,-0.9639751552795031,Large,Pre vs Post Inauguration
9,-0.9095238095238095,Large,Pre vs Post Inauguration
10,-0.9521739130434783,Large,Pre vs Post Inauguration
11,-0.970807453416149,Large,Pre vs Post Inauguration
12,-0.8699792960662526,Large,Pre vs Post Inauguration
13,-0.8819875776397516,Large,Pre vs Post Inauguration
14,-0.8708074534161491,Large,Pre vs Post Inauguration
15,-0.9693581780538302,Large,Pre vs Post Inauguration
16,-0.8836438923395445,Large,Pre vs Post Inauguration
17,-0.9322981366459627,Large,Pre vs Post Inauguration
18,-0.9625258799171843,Large,Pre vs Post Inauguration
19,-0.8774327122153209,Large,Pre vs Post Inauguration
20,-0.9064182194616978,Large,Pre vs Post Inauguration
21,-0.9594202898550724,Large,Pre vs Post Inauguration
22,-0.927536231884058,Large,Pre vs Post Inauguration
23,-0.9043478260869565,Large,Pre vs Post Inauguration
24,-0.8848861283643892,Large,Pre vs Post Inauguration
25,-0.9060041407867495,Large,Pre vs Post Inauguration
26,-0.9066252587991719,Large,Pre vs Post Inauguration
27,-0.8979296066252588,Large,Pre vs Post Inauguration
28,-0.9461697722567288,Large,Pre vs Post Inauguration
29,-0.9523809523809523,Large,Pre vs Post Inauguration
30,-0.891511387163561,Large,Pre vs Post Inauguration
31,-0.9238095238095239,Large,Pre vs Post Inauguration
32,-0.9238095238095239,Large,Pre vs Post Inauguration
33,-0.9126293995859214,Large,Pre vs Post Inauguration
34,-0.9130434782608695,Large,Pre vs Post Inauguration
35,-0.8898550724637682,Large,Pre vs Post Inauguration
36,-0.884472049689441,Large,Pre vs Post Inauguration
