bootstrap_iteration,d_statistic,p_value,significant,comparison
0,0.3894141829393628,8.982117830544427e-07,True,Post-Inauguration vs Entire Period
1,0.3745118191161357,2.662262229596532e-06,True,Post-Inauguration vs Entire Period
2,0.37440904419321686,2.662668125885068e-06,True,Post-Inauguration vs Entire Period
3,0.40328879753340185,2.948604143874555e-07,True,Post-Inauguration vs Entire Period
4,0.40328879753340185,2.948604143874555e-07,True,Post-Inauguration vs Entire Period
5,0.4750256937307297,5.335773533035567e-10,True,Post-Inauguration vs Entire Period
6,0.48263103802672147,2.6479458562783725e-10,True,Post-Inauguration vs Entire Period
7,0.36783144912641313,4.4518751620797075e-06,True,Post-Inauguration vs Entire Period
8,0.46073997944501544,2.0765619642812645e-09,True,Post-Inauguration vs Entire Period
9,0.3534429599177801,1.2241355984249369e-05,True,Post-Inauguration vs Entire Period
10,0.5041109969167523,3.028068353522302e-11,True,Post-Inauguration vs Entire Period
11,0.4394655704008222,1.4529628609126802e-08,True,Post-Inauguration vs Entire Period
12,0.41079136690647483,1.648531070241545e-07,True,Post-Inauguration vs Entire Period
13,0.36330935251798563,4.518420913918282e-06,True,Post-Inauguration vs Entire Period
14,0.4965056526207605,6.329629553757135e-11,True,Post-Inauguration vs Entire Period
15,0.3608427543679342,7.341436359936468e-06,True,Post-Inauguration vs Entire Period
16,0.381808838643371,1.5614139636318268e-06,True,Post-Inauguration vs Entire Period
17,0.4686536485097636,1.0291105117447656e-09,True,Post-Inauguration vs Entire Period
18,0.4751284686536485,5.335377552640602e-10,True,Post-Inauguration vs Entire Period
19,0.40328879753340185,2.948604143874555e-07,True,Post-Inauguration vs Entire Period
20,0.4400822199383351,1.3839654341271476e-08,True,Post-Inauguration vs Entire Period
21,0.4549845837615622,3.171657996201061e-09,True,Post-Inauguration vs Entire Period
22,0.41130524152106884,1.5902581321516868e-07,True,Post-Inauguration vs Entire Period
23,0.4251798561151079,5.005141559368417e-08,True,Post-Inauguration vs Entire Period
24,0.4751284686536485,5.335377552640602e-10,True,Post-Inauguration vs Entire Period
25,0.5108941418293936,1.433882882881586e-11,True,Post-Inauguration vs Entire Period
26,0.46793422404933194,1.0590742477677614e-09,True,Post-Inauguration vs Entire Period
27,0.44676258992805756,7.66661204863402e-09,True,Post-Inauguration vs Entire Period
28,0.44665981500513874,7.683271400729144e-09,True,Post-Inauguration vs Entire Period
29,0.47584789311408016,5.172659559591906e-10,True,Post-Inauguration vs Entire Period
30,0.39650565262076054,5.171430005796301e-07,True,Post-Inauguration vs Entire Period
31,0.4539568345323741,4.005160516535583e-09,True,Post-Inauguration vs Entire Period
32,0.5044193216855087,2.9888099308991154e-11,True,Post-Inauguration vs Entire Period
33,0.3815005138746146,1.5623099213627208e-06,True,Post-Inauguration vs Entire Period
34,0.352929085303186,1.2333085546789694e-05,True,Post-Inauguration vs Entire Period
35,0.46783144912641317,1.0591485250383542e-09,True,Post-Inauguration vs Entire Period
36,0.3961973278520041,5.196694039673388e-07,True,Post-Inauguration vs Entire Period
37,0.4463514902363823,7.697328342713881e-09,True,Post-Inauguration vs Entire Period
38,0.46073997944501544,2.0765619642812645e-09,True,Post-Inauguration vs Entire Period
39,0.41788283658787256,9.152359677395297e-08,True,Post-Inauguration vs Entire Period
40,0.4249743062692703,5.0190430836070024e-08,True,Post-Inauguration vs Entire Period
41,0.4754367934224049,5.322793152075227e-10,True,Post-Inauguration vs Entire Period
42,0.44665981500513874,7.683271400729144e-09,True,Post-Inauguration vs Entire Period
43,0.41767728674203497,9.16457734095486e-08,True,Post-Inauguration vs Entire Period
44,0.40349434737923945,2.9449675334406036e-07,True,Post-Inauguration vs Entire Period
45,0.439568345323741,1.4500013178918743e-08,True,Post-Inauguration vs Entire Period
46,0.4762589928057554,4.636915352633959e-10,True,Post-Inauguration vs Entire Period
47,0.389311408016444,9.016583332753645e-07,True,Post-Inauguration vs Entire Period
48,0.41027749229188076,1.6537205709642764e-07,True,Post-Inauguration vs Entire Period
49,0.35436793422404933,1.0899826401261016e-05,True,Post-Inauguration vs Entire Period
50,0.5110996916752313,1.4337001277104982e-11,True,Post-Inauguration vs Entire Period
