bootstrap_iteration,d_statistic,p_value,significant,comparison
0,0.4530288812428318,3.495154999194901e-09,True,Pre-Inauguration vs Entire Period
1,0.4383275987905328,1.2812914608449224e-08,True,Pre-Inauguration vs Entire Period
2,0.35220519236784487,1.1369237131944786e-05,True,Pre-Inauguration vs Entire Period
3,0.38077364195600044,1.4217453733752136e-06,True,Pre-Inauguration vs Entire Period
4,0.5022416849129392,3.446133316957451e-11,True,Pre-Inauguration vs Entire Period
5,0.43082056094255033,2.4520610126205507e-08,True,Pre-Inauguration vs Entire Period
6,0.4385361276196434,1.2775201062117674e-08,True,Pre-Inauguration vs Entire Period
7,0.4959858200396205,5.338787163252681e-11,True,Pre-Inauguration vs Entire Period
8,0.4815973308309874,2.2637299848239535e-10,True,Pre-Inauguration vs Entire Period
9,0.4885830466061933,1.1178018379727855e-10,True,Pre-Inauguration vs Entire Period
10,0.5534355124595975,9.849414404242877e-14,True,Pre-Inauguration vs Entire Period
11,0.38077364195600044,1.4217453733752136e-06,True,Pre-Inauguration vs Entire Period
12,0.4597018037743718,1.8265999955719153e-09,True,Pre-Inauguration vs Entire Period
13,0.3517881347096236,1.1452586548882362e-05,True,Pre-Inauguration vs Entire Period
14,0.3941194870190804,5.555060712694213e-07,True,Pre-Inauguration vs Entire Period
15,0.40246064018350536,2.6483863634016733e-07,True,Pre-Inauguration vs Entire Period
16,0.5171514961943489,5.890145845836462e-12,True,Pre-Inauguration vs Entire Period
17,0.40235637576895006,2.6524168204908934e-07,True,Pre-Inauguration vs Entire Period
18,0.4385361276196434,1.2775201062117674e-08,True,Pre-Inauguration vs Entire Period
19,0.3375039099155458,3.0228458670301263e-05,True,Pre-Inauguration vs Entire Period
20,0.5103743092482536,1.1958579689864371e-11,True,Pre-Inauguration vs Entire Period
21,0.48086747992910017,2.5989494305197955e-10,True,Pre-Inauguration vs Entire Period
22,0.39453654467730165,4.9648621198653e-07,True,Pre-Inauguration vs Entire Period
23,0.43791054113231154,1.3285224444228133e-08,True,Pre-Inauguration vs Entire Period
24,0.3370868522573246,3.0932368430781795e-05,True,Pre-Inauguration vs Entire Period
25,0.3654467730163695,4.572028604672448e-06,True,Pre-Inauguration vs Entire Period
26,0.43801480554686684,1.3083422248138197e-08,True,Pre-Inauguration vs Entire Period
27,0.4812845375873214,2.309854623743922e-10,True,Pre-Inauguration vs Entire Period
28,0.45261182358461055,3.5240547587465523e-09,True,Pre-Inauguration vs Entire Period
29,0.5318527786466479,1.1557253564224236e-12,True,Pre-Inauguration vs Entire Period
30,0.44562610780940465,6.73077684054145e-09,True,Pre-Inauguration vs Entire Period
31,0.46700031279324367,9.197818737324679e-10,True,Pre-Inauguration vs Entire Period
32,0.4814930664164321,2.270962188875999e-10,True,Pre-Inauguration vs Entire Period
33,0.5894067354811803,1.2301515641527859e-15,True,Pre-Inauguration vs Entire Period
34,0.473464706495673,5.741779566733638e-10,True,Pre-Inauguration vs Entire Period
35,0.46710457720779897,9.149943909664269e-10,True,Pre-Inauguration vs Entire Period
36,0.4529246168282765,3.4965915454798685e-09,True,Pre-Inauguration vs Entire Period
37,0.5608382858930248,4.155337636416713e-14,True,Pre-Inauguration vs Entire Period
38,0.40214784693983946,2.672570727244505e-07,True,Pre-Inauguration vs Entire Period
39,0.5755395683453237,7.250615435759557e-15,True,Pre-Inauguration vs Entire Period
40,0.38796788656031694,8.21698701662815e-07,True,Pre-Inauguration vs Entire Period
41,0.4164320717339172,8.315648749328744e-08,True,Pre-Inauguration vs Entire Period
42,0.4381190699614222,1.2947546063525402e-08,True,Pre-Inauguration vs Entire Period
43,0.44541757898029405,6.773205330224133e-09,True,Pre-Inauguration vs Entire Period
44,0.458763424043374,2.5674157549410555e-09,True,Pre-Inauguration vs Entire Period
45,0.5389427588364092,5.227369830121354e-13,True,Pre-Inauguration vs Entire Period
46,0.48180585966009803,2.259249453019839e-10,True,Pre-Inauguration vs Entire Period
47,0.4817015952455427,2.2604816780811497e-10,True,Pre-Inauguration vs Entire Period
48,0.4375977478886456,1.441447415977296e-08,True,Pre-Inauguration vs Entire Period
49,0.35230945678240017,1.136618501545555e-05,True,Pre-Inauguration vs Entire Period
50,0.38004379105411323,1.523115752791812e-06,True,Pre-Inauguration vs Entire Period
