bootstrap_iteration,d_statistic,p_value,significant,comparison
0,0.913871635610766,1.4659669577383017e-31,True,Pre vs Post Inauguration
1,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
2,0.8991718426501035,5.586822480817603e-30,True,Pre vs Post Inauguration
3,0.8565217391304348,5.9458613161222845e-27,True,Pre vs Post Inauguration
4,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
5,0.8699792960662526,1.696843371877163e-27,True,Pre vs Post Inauguration
6,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
7,0.8556935817805383,2.1099619106959824e-26,True,Pre vs Post Inauguration
8,0.9277432712215321,1.650444523209452e-32,True,Pre vs Post Inauguration
9,0.8132505175983437,1.0789409345782223e-23,True,Pre vs Post Inauguration
10,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
11,0.9134575569358178,3.369783317079472e-31,True,Pre vs Post Inauguration
12,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
13,0.782608695652174,2.081500746967292e-21,True,Pre vs Post Inauguration
14,0.7703933747412008,4.2192639235371595e-21,True,Pre vs Post Inauguration
15,0.8848861283643892,7.770654204755933e-29,True,Pre vs Post Inauguration
16,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
17,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
18,0.9279503105590062,1.3818702366597354e-32,True,Pre vs Post Inauguration
19,0.7842650103519668,1.1656404183016831e-21,True,Pre vs Post Inauguration
20,0.7981366459627329,2.211877083043853e-22,True,Pre vs Post Inauguration
21,0.8853002070393374,2.611672729710031e-29,True,Pre vs Post Inauguration
22,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
23,0.8126293995859213,2.3481470322555298e-23,True,Pre vs Post Inauguration
24,0.7977225672877847,2.4599219771762843e-22,True,Pre vs Post Inauguration
25,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
26,0.7840579710144927,1.4678192490832136e-21,True,Pre vs Post Inauguration
27,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
28,0.8556935817805383,2.1099619106959824e-26,True,Pre vs Post Inauguration
29,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
30,0.7987577639751553,1.1916088775218144e-22,True,Pre vs Post Inauguration
31,0.8556935817805383,2.1099619106959824e-26,True,Pre vs Post Inauguration
32,0.8554865424430642,2.2299136153707975e-26,True,Pre vs Post Inauguration
33,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
34,0.8420289855072464,9.576191896622993e-26,True,Pre vs Post Inauguration
35,0.784472049689441,8.63461587520153e-22,True,Pre vs Post Inauguration
36,0.8130434782608695,1.529711835041579e-23,True,Pre vs Post Inauguration
37,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
38,0.870600414078675,9.33496260066648e-28,True,Pre vs Post Inauguration
39,0.7846790890269151,6.079924673571245e-22,True,Pre vs Post Inauguration
40,0.9136645962732919,2.53387419087263e-31,True,Pre vs Post Inauguration
41,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
42,0.8697722567287784,1.7401962107126535e-27,True,Pre vs Post Inauguration
43,0.8118012422360248,2.773785597648144e-23,True,Pre vs Post Inauguration
44,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
45,0.8991718426501035,5.586822480817603e-30,True,Pre vs Post Inauguration
46,0.9134575569358178,3.369783317079472e-31,True,Pre vs Post Inauguration
47,0.7830227743271222,2.0768950364310817e-21,True,Pre vs Post Inauguration
48,0.8712215320910973,1.7014914825613353e-28,True,Pre vs Post Inauguration
49,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
50,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
51,0.798343685300207,1.9414775697077533e-22,True,Pre vs Post Inauguration
52,0.884472049689441,1.145120546192707e-28,True,Pre vs Post Inauguration
53,0.8269151138716356,2.5740187221583175e-24,True,Pre vs Post Inauguration
54,0.841407867494824,2.3117741307806233e-25,True,Pre vs Post Inauguration
55,0.8987577639751553,7.19011066140718e-30,True,Pre vs Post Inauguration
56,0.884472049689441,1.145120546192707e-28,True,Pre vs Post Inauguration
57,0.8842650103519669,1.192263592765821e-28,True,Pre vs Post Inauguration
58,0.8271221532091098,2.2550392555595806e-24,True,Pre vs Post Inauguration
59,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
60,0.8407867494824016,2.6595724479267336e-25,True,Pre vs Post Inauguration
61,0.8420289855072464,9.576191896622993e-26,True,Pre vs Post Inauguration
62,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
63,0.8552795031055901,2.2657982548798836e-26,True,Pre vs Post Inauguration
64,0.856728778467909,3.357982906786363e-27,True,Pre vs Post Inauguration
65,0.8420289855072464,9.576191896622993e-26,True,Pre vs Post Inauguration
66,0.7989648033126294,8.338567595819699e-23,True,Pre vs Post Inauguration
