bootstrap_iteration,u_statistic,p_value,significant,comparison
0,6835.5,1.8005042397497866e-06,True,Post-Inauguration vs Entire Period
1,6839.0,1.7265908502751603e-06,True,Post-Inauguration vs Entire Period
2,6728.0,6.362257425567771e-06,True,Post-Inauguration vs Entire Period
3,7035.5,1.4460325216768688e-07,True,Post-Inauguration vs Entire Period
4,6928.0,5.766953860557157e-07,True,Post-Inauguration vs Entire Period
5,7330.0,2.3280430711742565e-09,True,Post-Inauguration vs Entire Period
6,7396.0,8.625434771630513e-10,True,Post-Inauguration vs Entire Period
7,6700.5,8.695093944849928e-06,True,Post-Inauguration vs Entire Period
8,7260.0,6.493547542670894e-09,True,Post-Inauguration vs Entire Period
9,6877.0,1.0868521460225279e-06,True,Post-Inauguration vs Entire Period
10,7623.0,2.340114525922034e-11,True,Post-Inauguration vs Entire Period
11,7151.0,3.036926201237694e-08,True,Post-Inauguration vs Entire Period
12,7121.0,4.590503643703701e-08,True,Post-Inauguration vs Entire Period
13,7126.0,4.281982527148181e-08,True,Post-Inauguration vs Entire Period
14,7411.5,6.809275630578471e-10,True,Post-Inauguration vs Entire Period
15,6472.5,9.829399814872363e-05,True,Post-Inauguration vs Entire Period
16,6921.5,6.260903368865504e-07,True,Post-Inauguration vs Entire Period
17,7146.0,3.253959001671291e-08,True,Post-Inauguration vs Entire Period
18,7332.0,2.2611707047105506e-09,True,Post-Inauguration vs Entire Period
19,7010.5,2.006974380828931e-07,True,Post-Inauguration vs Entire Period
20,7297.0,3.792887314496362e-09,True,Post-Inauguration vs Entire Period
21,7332.5,2.2425214824625773e-09,True,Post-Inauguration vs Entire Period
22,7183.0,1.9462383545854702e-08,True,Post-Inauguration vs Entire Period
23,6984.0,2.828524960185063e-07,True,Post-Inauguration vs Entire Period
24,7149.5,3.1026322060990415e-08,True,Post-Inauguration vs Entire Period
25,7499.5,1.72879022037057e-10,True,Post-Inauguration vs Entire Period
26,7403.5,7.691945563972955e-10,True,Post-Inauguration vs Entire Period
27,6803.5,2.6410797613198225e-06,True,Post-Inauguration vs Entire Period
28,6995.5,2.438516905131329e-07,True,Post-Inauguration vs Entire Period
29,7365.5,1.3701439258751223e-09,True,Post-Inauguration vs Entire Period
30,6712.0,7.632369174672958e-06,True,Post-Inauguration vs Entire Period
31,7207.0,1.3883277954620698e-08,True,Post-Inauguration vs Entire Period
32,7342.0,1.9471687246317797e-09,True,Post-Inauguration vs Entire Period
33,6762.0,4.296822721755186e-06,True,Post-Inauguration vs Entire Period
34,6099.0,0.0027937707435342434,True,Post-Inauguration vs Entire Period
35,6976.0,3.137194591077073e-07,True,Post-Inauguration vs Entire Period
36,7045.0,1.2758984136092836e-07,True,Post-Inauguration vs Entire Period
37,6825.5,2.031215668040385e-06,True,Post-Inauguration vs Entire Period
38,7022.0,1.7277575300619484e-07,True,Post-Inauguration vs Entire Period
