bootstrap_iteration,u_statistic,p_value,significant,comparison
0,2680.0,2.2744758825043395e-07,True,Pre-Inauguration vs Entire Period
1,2569.0,5.124496538450032e-08,True,Pre-Inauguration vs Entire Period
2,2842.5,1.7722056066602765e-06,True,Pre-Inauguration vs Entire Period
3,2660.0,1.7475701086431752e-07,True,Pre-Inauguration vs Entire Period
4,1861.5,7.06838666139835e-13,True,Pre-Inauguration vs Entire Period
5,2361.0,2.5875173478135885e-09,True,Pre-Inauguration vs Entire Period
6,2512.5,2.3296372961225795e-08,True,Pre-Inauguration vs Entire Period
7,2432.5,7.435754734193516e-09,True,Pre-Inauguration vs Entire Period
8,2289.5,8.741912327465703e-10,True,Pre-Inauguration vs Entire Period
9,2241.5,4.148253426109394e-10,True,Pre-Inauguration vs Entire Period
10,2085.0,3.3312143472830334e-11,True,Pre-Inauguration vs Entire Period
11,3000.0,1.1217223396297657e-05,True,Pre-Inauguration vs Entire Period
12,2721.5,3.900990595857289e-07,True,Pre-Inauguration vs Entire Period
13,3096.0,3.218964662377215e-05,True,Pre-Inauguration vs Entire Period
14,2675.0,2.1288779443962605e-07,True,Pre-Inauguration vs Entire Period
15,2977.0,8.636765723649797e-06,True,Pre-Inauguration vs Entire Period
16,2280.5,7.597818435979962e-10,True,Pre-Inauguration vs Entire Period
17,3135.5,4.890373905939992e-05,True,Pre-Inauguration vs Entire Period
18,2933.5,5.236397202671253e-06,True,Pre-Inauguration vs Entire Period
19,3092.0,3.083545121029429e-05,True,Pre-Inauguration vs Entire Period
20,2092.5,3.769091296905044e-11,True,Pre-Inauguration vs Entire Period
21,2331.0,1.645173368288323e-09,True,Pre-Inauguration vs Entire Period
22,2640.5,1.3498711145548865e-07,True,Pre-Inauguration vs Entire Period
23,2567.5,5.0220998319910206e-08,True,Pre-Inauguration vs Entire Period
24,2925.0,4.743949765284961e-06,True,Pre-Inauguration vs Entire Period
25,2999.5,1.1148611842603502e-05,True,Pre-Inauguration vs Entire Period
26,2605.0,8.37970304905532e-08,True,Pre-Inauguration vs Entire Period
27,2220.0,2.961229095941717e-10,True,Pre-Inauguration vs Entire Period
28,2446.5,9.100198147869772e-09,True,Pre-Inauguration vs Entire Period
29,2370.5,2.9800906384572537e-09,True,Pre-Inauguration vs Entire Period
30,2872.0,2.5329489554947394e-06,True,Pre-Inauguration vs Entire Period
31,2394.5,4.252550011228948e-09,True,Pre-Inauguration vs Entire Period
32,2268.5,6.301722663824501e-10,True,Pre-Inauguration vs Entire Period
33,1910.0,1.6716544063341153e-12,True,Pre-Inauguration vs Entire Period
34,2396.0,4.352251652720515e-09,True,Pre-Inauguration vs Entire Period
35,2530.5,3.0066416741646716e-08,True,Pre-Inauguration vs Entire Period
36,2846.0,1.850927443567169e-06,True,Pre-Inauguration vs Entire Period
37,2182.5,1.6297602517608167e-10,True,Pre-Inauguration vs Entire Period
38,2649.0,1.5117627547937517e-07,True,Pre-Inauguration vs Entire Period
39,1891.0,1.1955561126356029e-12,True,Pre-Inauguration vs Entire Period
40,2985.5,9.518738334529304e-06,True,Pre-Inauguration vs Entire Period
41,2863.0,2.2740784068919043e-06,True,Pre-Inauguration vs Entire Period
42,3088.5,2.970633421876301e-05,True,Pre-Inauguration vs Entire Period
43,2636.5,1.2790774638404772e-07,True,Pre-Inauguration vs Entire Period
44,2260.0,5.540659171689161e-10,True,Pre-Inauguration vs Entire Period
45,2361.5,2.606726228322188e-09,True,Pre-Inauguration vs Entire Period
46,2546.0,3.725643820400032e-08,True,Pre-Inauguration vs Entire Period
47,2825.5,1.440571149144959e-06,True,Pre-Inauguration vs Entire Period
48,2590.0,6.830181241198538e-08,True,Pre-Inauguration vs Entire Period
49,2901.0,3.5761721926052216e-06,True,Pre-Inauguration vs Entire Period
50,2681.5,2.3203694960568624e-07,True,Pre-Inauguration vs Entire Period
51,2934.0,5.267607631553622e-06,True,Pre-Inauguration vs Entire Period
52,2831.5,1.5511799300097442e-06,True,Pre-Inauguration vs Entire Period
53,2647.5,1.4819652053188856e-07,True,Pre-Inauguration vs Entire Period
54,2951.0,6.413647681445114e-06,True,Pre-Inauguration vs Entire Period
55,2684.5,2.4112982822001104e-07,True,Pre-Inauguration vs Entire Period
56,2940.0,5.649497539651427e-06,True,Pre-Inauguration vs Entire Period
57,2650.0,1.5320798118051407e-07,True,Pre-Inauguration vs Entire Period
58,2564.5,4.815132706416821e-08,True,Pre-Inauguration vs Entire Period
59,2745.0,5.267908091463448e-07,True,Pre-Inauguration vs Entire Period
60,2339.0,1.8584080284167917e-09,True,Pre-Inauguration vs Entire Period
61,2197.5,2.072223154742145e-10,True,Pre-Inauguration vs Entire Period
62,2492.5,1.7589425066676398e-08,True,Pre-Inauguration vs Entire Period
63,2186.5,1.73767178247035e-10,True,Pre-Inauguration vs Entire Period
64,2104.5,4.596402155182089e-11,True,Pre-Inauguration vs Entire Period
65,2446.5,9.104941117034296e-09,True,Pre-Inauguration vs Entire Period
66,2605.5,8.433709086721154e-08,True,Pre-Inauguration vs Entire Period
67,2856.5,2.101332335331967e-06,True,Pre-Inauguration vs Entire Period
68,2649.0,1.511317266495409e-07,True,Pre-Inauguration vs Entire Period
69,2237.0,3.8694807310815067e-10,True,Pre-Inauguration vs Entire Period
70,2289.5,8.73663374097456e-10,True,Pre-Inauguration vs Entire Period
71,2114.5,5.414723932730469e-11,True,Pre-Inauguration vs Entire Period
72,2616.5,9.784080193107081e-08,True,Pre-Inauguration vs Entire Period
73,2584.0,6.294148855921374e-08,True,Pre-Inauguration vs Entire Period
74,2268.0,6.27523088668259e-10,True,Pre-Inauguration vs Entire Period
75,2456.0,1.0440107053080174e-08,True,Pre-Inauguration vs Entire Period
76,2196.0,2.0229472477369684e-10,True,Pre-Inauguration vs Entire Period
77,3018.5,1.3804833208069499e-05,True,Pre-Inauguration vs Entire Period
78,2371.0,3.004738545913239e-09,True,Pre-Inauguration vs Entire Period
79,2992.0,1.0247065852943887e-05,True,Pre-Inauguration vs Entire Period
80,2103.0,4.483179366724017e-11,True,Pre-Inauguration vs Entire Period
81,3077.0,2.6237223770725453e-05,True,Pre-Inauguration vs Entire Period
82,2065.0,2.3859501018825954e-11,True,Pre-Inauguration vs Entire Period
83,2598.0,7.612740655781791e-08,True,Pre-Inauguration vs Entire Period
84,2257.5,5.330295074638902e-10,True,Pre-Inauguration vs Entire Period
85,2188.0,1.7810654961212814e-10,True,Pre-Inauguration vs Entire Period
86,2793.0,9.642769452550155e-07,True,Pre-Inauguration vs Entire Period
87,2852.5,2.0025975853675667e-06,True,Pre-Inauguration vs Entire Period
88,2714.5,3.564774121837539e-07,True,Pre-Inauguration vs Entire Period
89,2209.5,2.5035257821525354e-10,True,Pre-Inauguration vs Entire Period
90,2098.0,4.124713223507283e-11,True,Pre-Inauguration vs Entire Period
91,2212.0,2.6075591607614165e-10,True,Pre-Inauguration vs Entire Period
92,2773.0,7.506643602996064e-07,True,Pre-Inauguration vs Entire Period
93,2797.0,1.013196832811766e-06,True,Pre-Inauguration vs Entire Period
94,2373.0,3.0958851243347187e-09,True,Pre-Inauguration vs Entire Period
95,2625.5,1.1036800112327357e-07,True,Pre-Inauguration vs Entire Period
96,3160.5,6.346263845418753e-05,True,Pre-Inauguration vs Entire Period
97,2176.0,1.4695040088912496e-10,True,Pre-Inauguration vs Entire Period
98,2642.0,1.377360213786065e-07,True,Pre-Inauguration vs Entire Period
99,2588.5,6.68835882489179e-08,True,Pre-Inauguration vs Entire Period
100,2446.5,9.088556210530893e-09,True,Pre-Inauguration vs Entire Period
101,2324.0,1.4815059279860982e-09,True,Pre-Inauguration vs Entire Period
102,2349.0,2.159660233754515e-09,True,Pre-Inauguration vs Entire Period
103,2993.0,1.0358041941192606e-05,True,Pre-Inauguration vs Entire Period
104,2308.0,1.1570886034829533e-09,True,Pre-Inauguration vs Entire Period
105,2800.5,1.0580410733053813e-06,True,Pre-Inauguration vs Entire Period
106,2547.5,3.806291112127518e-08,True,Pre-Inauguration vs Entire Period
107,2695.0,2.765939239860032e-07,True,Pre-Inauguration vs Entire Period
108,2142.5,8.552627961850744e-11,True,Pre-Inauguration vs Entire Period
109,2340.5,1.9014879608621172e-09,True,Pre-Inauguration vs Entire Period
110,2854.0,2.037865818533197e-06,True,Pre-Inauguration vs Entire Period
111,2095.5,3.9623893029734745e-11,True,Pre-Inauguration vs Entire Period
112,2656.5,1.6696094700188166e-07,True,Pre-Inauguration vs Entire Period
113,2927.0,4.855757366889085e-06,True,Pre-Inauguration vs Entire Period
114,2307.5,1.1508913266629674e-09,True,Pre-Inauguration vs Entire Period
115,2585.0,6.38560824723884e-08,True,Pre-Inauguration vs Entire Period
116,2600.5,7.878760021632436e-08,True,Pre-Inauguration vs Entire Period
117,2994.5,1.053973854234899e-05,True,Pre-Inauguration vs Entire Period
118,2000.5,8.030056230470003e-12,True,Pre-Inauguration vs Entire Period
119,2581.0,6.045587088934235e-08,True,Pre-Inauguration vs Entire Period
120,2455.5,1.0354434296190328e-08,True,Pre-Inauguration vs Entire Period
121,2693.5,2.714185212886973e-07,True,Pre-Inauguration vs Entire Period
122,2842.5,1.7733008524529201e-06,True,Pre-Inauguration vs Entire Period
123,2193.0,1.928311064201046e-10,True,Pre-Inauguration vs Entire Period
124,2237.0,3.8711897712449216e-10,True,Pre-Inauguration vs Entire Period
125,3250.5,0.00015719019191293658,True,Pre-Inauguration vs Entire Period
126,2164.0,1.2109042366806419e-10,True,Pre-Inauguration vs Entire Period
127,2573.0,5.41528641694387e-08,True,Pre-Inauguration vs Entire Period
128,2168.5,1.3014363013864696e-10,True,Pre-Inauguration vs Entire Period
129,2766.5,6.921030837866723e-07,True,Pre-Inauguration vs Entire Period
130,2651.5,1.562806518670886e-07,True,Pre-Inauguration vs Entire Period
131,2972.5,8.211208527850259e-06,True,Pre-Inauguration vs Entire Period
132,2426.0,6.752567714773447e-09,True,Pre-Inauguration vs Entire Period
133,2616.5,9.782930994930432e-08,True,Pre-Inauguration vs Entire Period
134,2890.0,3.1375890639051014e-06,True,Pre-Inauguration vs Entire Period
135,2270.0,6.462366996378875e-10,True,Pre-Inauguration vs Entire Period
136,2264.5,5.943967901868739e-10,True,Pre-Inauguration vs Entire Period
137,2477.5,1.4210982524388415e-08,True,Pre-Inauguration vs Entire Period
138,2580.5,6.003580051203716e-08,True,Pre-Inauguration vs Entire Period
139,2030.5,1.3359304752335031e-11,True,Pre-Inauguration vs Entire Period
140,2427.0,6.846316990054669e-09,True,Pre-Inauguration vs Entire Period
141,2353.0,2.293725095476892e-09,True,Pre-Inauguration vs Entire Period
142,2601.0,7.929396249183322e-08,True,Pre-Inauguration vs Entire Period
143,1929.5,2.354087161817645e-12,True,Pre-Inauguration vs Entire Period
144,2336.0,1.7760043623344094e-09,True,Pre-Inauguration vs Entire Period
145,2276.0,7.093721715453146e-10,True,Pre-Inauguration vs Entire Period
146,2668.5,1.9561957210568391e-07,True,Pre-Inauguration vs Entire Period
147,3065.0,2.3033529469555945e-05,True,Pre-Inauguration vs Entire Period
148,3229.0,0.00012709248405095653,True,Pre-Inauguration vs Entire Period
149,3187.5,8.372262176675235e-05,True,Pre-Inauguration vs Entire Period
150,2281.5,7.728168881280016e-10,True,Pre-Inauguration vs Entire Period
151,2316.0,1.3114276470141065e-09,True,Pre-Inauguration vs Entire Period
152,2803.0,1.0917624966667979e-06,True,Pre-Inauguration vs Entire Period
153,1941.5,2.898396561661361e-12,True,Pre-Inauguration vs Entire Period
154,2611.5,9.143940805297521e-08,True,Pre-Inauguration vs Entire Period
155,2349.5,2.176808332669609e-09,True,Pre-Inauguration vs Entire Period
156,2590.5,6.881015419971479e-08,True,Pre-Inauguration vs Entire Period
157,3129.0,4.5675367699544375e-05,True,Pre-Inauguration vs Entire Period
158,3249.0,0.00015498267918534058,True,Pre-Inauguration vs Entire Period
159,2126.0,6.531275856438269e-11,True,Pre-Inauguration vs Entire Period
160,2753.0,5.828397630191594e-07,True,Pre-Inauguration vs Entire Period
161,2265.5,6.03530833340513e-10,True,Pre-Inauguration vs Entire Period
162,2823.0,1.3975446915689586e-06,True,Pre-Inauguration vs Entire Period
163,2495.0,1.8232141099624494e-08,True,Pre-Inauguration vs Entire Period
164,2990.0,1.001897079940398e-05,True,Pre-Inauguration vs Entire Period
165,2666.5,1.9054682025361937e-07,True,Pre-Inauguration vs Entire Period
166,2734.5,4.6082741056187635e-07,True,Pre-Inauguration vs Entire Period
167,2836.0,1.6380536986731017e-06,True,Pre-Inauguration vs Entire Period
168,2774.0,7.603874678012106e-07,True,Pre-Inauguration vs Entire Period
169,2581.5,6.084376310883518e-08,True,Pre-Inauguration vs Entire Period
170,2842.5,1.7734694019399649e-06,True,Pre-Inauguration vs Entire Period
171,2607.5,8.658688046144042e-08,True,Pre-Inauguration vs Entire Period
172,2891.0,3.1759780931557874e-06,True,Pre-Inauguration vs Entire Period
173,2440.0,8.28762995539336e-09,True,Pre-Inauguration vs Entire Period
174,2612.5,9.265959719957682e-08,True,Pre-Inauguration vs Entire Period
175,1920.5,2.009162949593742e-12,True,Pre-Inauguration vs Entire Period
176,2907.5,3.861355531101843e-06,True,Pre-Inauguration vs Entire Period
177,3200.0,9.505850607678444e-05,True,Pre-Inauguration vs Entire Period
178,2222.0,3.056232531653503e-10,True,Pre-Inauguration vs Entire Period
179,2231.0,3.5172234144698537e-10,True,Pre-Inauguration vs Entire Period
180,2636.5,1.279901722410956e-07,True,Pre-Inauguration vs Entire Period
181,2855.0,2.063490220300658e-06,True,Pre-Inauguration vs Entire Period
182,2818.5,1.3222382535562272e-06,True,Pre-Inauguration vs Entire Period
183,2020.0,1.1183263144366834e-11,True,Pre-Inauguration vs Entire Period
184,2507.5,2.1773601832709612e-08,True,Pre-Inauguration vs Entire Period
185,2758.5,6.254016325619018e-07,True,Pre-Inauguration vs Entire Period
186,1418.5,1.4323262393390318e-16,True,Pre-Inauguration vs Entire Period
187,2659.0,1.723812778969115e-07,True,Pre-Inauguration vs Entire Period
188,2596.0,7.409142449424718e-08,True,Pre-Inauguration vs Entire Period
189,2674.0,2.1019485188295162e-07,True,Pre-Inauguration vs Entire Period
190,2511.5,2.302061505173202e-08,True,Pre-Inauguration vs Entire Period
191,3164.5,6.614361326410917e-05,True,Pre-Inauguration vs Entire Period
192,2448.5,9.37547281313916e-09,True,Pre-Inauguration vs Entire Period
193,2804.0,1.1052019880082294e-06,True,Pre-Inauguration vs Entire Period
194,2348.0,2.129124831854856e-09,True,Pre-Inauguration vs Entire Period
195,2198.0,2.0869408307911943e-10,True,Pre-Inauguration vs Entire Period
196,2497.5,1.8870359435560447e-08,True,Pre-Inauguration vs Entire Period
197,2326.0,1.5270041558122496e-09,True,Pre-Inauguration vs Entire Period
198,2619.0,1.0114968048446795e-07,True,Pre-Inauguration vs Entire Period
199,2755.0,5.97781633158476e-07,True,Pre-Inauguration vs Entire Period
200,2610.5,9.023480117847914e-08,True,Pre-Inauguration vs Entire Period
201,1903.5,1.4896478482899725e-12,True,Pre-Inauguration vs Entire Period
202,2706.5,3.2127999676714717e-07,True,Pre-Inauguration vs Entire Period
